,L5,L5-,P_cons,P_prod,P_tot
2021-12-17 21:48:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:48:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:48:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:48:40+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:48:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:48:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:49:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:49:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:49:20+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:49:28+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:49:36+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:49:44+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:49:52+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:50:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:50:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:50:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:50:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:50:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:50:40+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:50:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:50:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:51:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:51:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:51:20+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:51:28+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:51:36+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:51:44+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:51:52+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:52:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:52:08+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:52:16+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:52:24+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:52:32+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:52:40+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:52:48+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:52:56+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:53:04+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:53:12+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:53:20+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:53:28+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:53:36+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:53:44+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:53:52+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:54:00+01:00,0.0,0.0,0.0,0.0,0.0
2021-12-17 21:54:08+01:00,0.0,0.0,0.0,0.0,0.0
