,PV_Brun,PV_Brun-,PV_Gris-,PV_Gris,PV_Noir-,PV_Noir,Brun,Brun-,Gris,Gris-,Noir,Noir-,P_cons,P_prod,P_tot
2021-12-17 11:51:36+01:00,0.9999999999763531,1.9999999999527063,99.0000000456348,0.0,165.0000000372529,1.0000000002037268,452.9999999795109,0.0,716.9999999459833,0.0,0.0,11.999999987892807,1422.0000000202617,-264.00000008266034,1157.9999999376014
2021-12-17 11:51:44+01:00,0.0,1.9999999999527063,97.99999999813735,0.0,165.99999996833503,0.0,444.00000001769513,0.0,696.9999999273568,0.0,0.0,18.00000004004687,1388.9999998714302,-265.9999999664251,1122.999999905005
2021-12-17 11:51:52+01:00,0.0,1.9999999999527063,96.00000001955777,0.0,165.99999996833503,0.0,452.0000000484288,0.0,702.9999999795109,0.0,0.0,16.99999999254942,1402.0000000232358,-263.9999999878455,1138.0000000353903
2021-12-17 11:52:00+01:00,0.0,1.0000000002037268,96.9999999506399,0.0,164.00000010617077,0.0,454.00000002700835,0.0,705.0000000745058,0.0,0.0,18.00000004004687,1403.0000001184817,-262.0000000570144,1141.0000000614673
2021-12-17 11:52:08+01:00,0.0,1.9999999999527063,97.99999999813735,0.0,165.0000000372529,0.0,449.99999995343387,0.0,712.9999999888241,0.0,0.0,13.000000035390258,1414.9999999422107,-265.00000003534296,1149.9999999068677
2021-12-17 11:52:16+01:00,0.0,1.9999999999527063,96.9999999506399,0.0,165.99999996833503,0.0,445.9999999962747,0.0,702.0000000484288,0.0,0.0,16.99999999254942,1395.9999999710817,-264.99999991892764,1131.000000052154
2021-12-17 11:52:24+01:00,0.0,1.0000000002037268,97.99999999813735,0.0,168.00000006332994,0.0,447.00000004377216,0.0,700.999999884516,0.0,0.0,18.00000004004687,1396.9999999499123,-267.000000061671,1129.9999998882413
2021-12-17 11:52:32+01:00,0.9999999999763531,1.0000000002037268,99.99999997671694,0.0,169.9999999254942,0.0,447.9999999748543,0.0,699.9999999534339,0.0,0.0,18.00000004004687,1399.9999997906798,-269.9999999024385,1129.9999998882413
2021-12-17 11:52:40+01:00,0.0,1.9999999999527063,99.99999997671694,0.0,172.0000000204891,0.0,445.9999999962747,0.0,699.9999999534339,0.0,0.0,18.999999971129,1400.9999999757383,-273.99999999715874,1126.9999999785796
2021-12-17 11:52:48+01:00,0.0,1.9999999999527063,99.99999997671694,0.0,172.0000000204891,0.0,442.00000003911555,0.0,696.9999999273568,0.0,0.0,20.00000001862645,1392.9999999450047,-273.99999999715874,1118.999999947846
2021-12-17 11:52:56+01:00,0.0,1.0000000002037268,101.00000002421439,0.0,172.99999995157123,0.0,444.00000001769513,0.0,702.9999999795109,0.0,0.0,18.00000004004687,1403.9999999331485,-274.99999997598934,1128.9999999571592
2021-12-17 11:53:04+01:00,0.0,1.9999999999527063,101.00000002421439,0.0,174.000000115484,0.0,439.99999994412065,0.0,695.9999999962747,0.0,0.0,20.00000001862645,1393.00000006142,-277.0000001396511,1115.999999921769
2021-12-17 11:53:12+01:00,0.0,1.9999999999527063,101.00000002421439,0.0,172.99999995157123,0.0,444.00000001769513,0.0,699.9999999534339,0.0,0.0,21.999999997206032,1397.9999999496613,-275.9999999757383,1121.999999973923
2021-12-17 11:53:20+01:00,0.0,1.9999999999527063,101.00000002421439,0.0,174.000000115484,0.0,437.99999996554106,0.0,695.9999999962747,0.0,0.0,18.999999971129,1392.0000001303379,-277.0000001396511,1114.9999999906868
