,ECHASC_PV_Brun,ECHASC_PV_Brun-,ECHASC_PV_Gris-,ECHASC_PV_Gris,ECHASC_PV_Noir-,ECHASC_PV_Noir,ECHASC_Brun,ECHASC_Brun-,ECHASC_Gris,ECHASC_Gris-,ECHASC_Noir,ECHASC_Noir-,ECHBUA_Brun-,ECHBUA_Brun,ECHBUA_Gris,ECHBUA_Gris-,ECHBUA_Noir,ECHBUA_Noir-,ECHBUA_PV_Brun-,ECHBUA_PV_Brun,ECHBUA_PV_Gris,ECHBUA_PV_Gris-,ECHBUA_PV_Noir,ECHBUA_PV_Noir-,ECHL16_L16,ECHL16_L16-,ECHL05_L5,ECHL05_L5-,P_cons,P_prod,P_tot
2021-12-17 18:01:52+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,589.0000000363216,0.0,696.9999999273568,0.0,79.99999998719431,0.0,0.0,80.37500001955777,13.374999994994141,0.0,88.62499997485429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.0000000428408,0.0,0.0,0.0,2534.3749999829015,10.000000000218279,2544.37499998312
2021-12-17 18:02:00+01:00,0.0,0.0,0.0,5.000000000109139,0.0,5.000000000109139,594.9999999720603,0.0,698.0000000912696,0.0,78.99999999790452,0.0,0.0,80.74999996460974,13.24999998905696,0.0,88.62500003306195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3341.9999999459833,0.0,0.0,0.0,4886.624999993728,10.000000000218279,4896.624999993946
2021-12-17 18:02:08+01:00,0.9999999999763531,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,596.0000000195578,0.0,699.9999999534339,0.0,79.99999998719431,0.0,0.0,80.62499997322448,13.500000000931323,0.0,88.37499999208376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1204.9999999580905,0.0,0.0,0.0,2752.4999998843214,11.000000000194632,2763.499999884516
2021-12-17 18:02:16+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,5.000000000109139,597.9999999981374,0.0,698.0000000912696,0.0,79.99999998719431,0.0,0.0,70.87499997578561,13.24999998905696,0.0,78.75000001513399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.99999995250255,0.0,0.0,0.0,2028.8750000090658,9.000000000014552,2037.8750000090804
2021-12-17 18:02:24+01:00,0.0,0.0,0.0,5.000000000109139,0.0,6.000000000312866,596.9999999506399,0.0,695.0000000651926,0.0,78.99999999790452,0.0,0.0,64.49999994947575,13.500000000931323,0.0,72.50000003841706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.9999999757856,0.0,0.0,0.0,2034.4999999779247,11.000000000422006,2045.4999999783468
2021-12-17 18:02:32+01:00,0.9999999999763531,0.0,0.0,3.9999999999054126,0.0,5.000000000109139,592.9999999934807,0.0,693.9999999012798,0.0,78.99999999790452,0.0,0.0,80.74999996460974,13.374999994994141,0.0,88.50000004167669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.99999997392297,0.0,0.0,0.0,2035.6249998678777,9.999999999990905,2045.6249998678686
2021-12-17 18:02:40+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,599.9999999767169,0.0,699.9999999534339,0.0,79.99999998719431,0.0,0.0,80.87499995599501,13.124999990395736,0.0,88.25000000069849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.00000003073364,0.0,0.0,0.0,2060.2499998949497,10.000000000218279,2070.249999895168
2021-12-17 18:02:48+01:00,0.9999999999763531,0.0,0.0,5.000000000109139,0.0,6.000000000312866,606.000000028871,0.0,709.000000031665,0.0,81.99999999487773,0.0,0.0,80.9999999764841,13.374999994994141,0.0,88.37500002118759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.0000000121072,0.0,0.0,0.0,2055.7500000597884,12.000000000398359,2067.7500000601867
2021-12-17 18:02:56+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,5.000000000109139,597.9999999981374,0.0,696.9999999273568,0.0,78.99999999790452,0.0,0.0,70.37500001024455,13.374999994994141,0.0,78.00000000861473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1305.9999999823049,0.0,0.0,0.0,2832.7499999195425,9.000000000014552,2841.749999919557
2021-12-17 18:03:04+01:00,0.9999999999763531,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,596.9999999506399,0.0,695.0000000651926,0.0,79.99999998719431,0.0,0.0,64.99999997322448,13.374999994994141,0.0,72.74999999208376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3353.000000002794,0.0,0.0,0.0,4865.1249999659285,11.000000000194632,4876.124999966123
2021-12-17 18:03:12+01:00,0.9999999999763531,0.0,0.0,5.000000000109139,0.0,5.000000000109139,596.0000000195578,0.0,696.9999999273568,0.0,78.99999999790452,0.0,0.0,82.99999998416752,13.374999994994141,0.0,89.37499998137355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689.9999999441206,0.0,0.0,0.0,2236.7499998492804,11.000000000194632,2247.749999849475
2021-12-17 18:03:20+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,594.9999999720603,0.0,695.0000000651926,0.0,78.99999999790452,0.0,0.0,101.74999991431832,13.24999998905696,0.0,104.37499996623956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,2078.374999904554,10.000000000218279,2088.3749999047723
2021-12-17 18:03:28+01:00,0.0,0.0,0.0,5.000000000109139,0.0,6.000000000312866,597.9999999981374,0.0,703.999999910593,0.0,81.99999999487773,0.0,0.0,101.49999996065162,13.500000000931323,0.0,103.99999996297993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.000000028871,0.0,0.0,0.0,2072.99999985662,11.000000000422006,2083.999999857042
2021-12-17 18:03:36+01:00,0.0,0.0,0.0,3.9999999999054126,0.0,5.000000000109139,596.9999999506399,0.0,699.0000000223517,0.0,78.00000000861473,0.0,0.0,90.62499995343387,13.374999994994141,0.0,93.12499998486601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.9999999431893,0.0,0.0,0.0,2051.124999858075,9.000000000014552,2060.1249998580897
2021-12-17 18:03:44+01:00,0.9999999999763531,0.0,0.0,3.9999999999054126,0.0,6.000000000312866,594.9999999720603,0.0,696.9999999273568,0.0,79.99999998719431,0.0,0.0,85.87499996065162,13.374999994994141,0.0,88.50000001257285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.99999994784594,0.0,0.0,0.0,2042.7499998024814,11.000000000194632,2053.749999802676
2021-12-17 18:03:52+01:00,0.0,0.0,0.0,5.000000000109139,0.0,5.000000000109139,594.9999999720603,0.0,695.0000000651926,0.0,78.00000000861473,0.0,0.0,101.74999991431832,13.374999994994141,0.0,104.37499996623956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.9999999906868,0.0,0.0,0.0,2067.499999911888,10.000000000218279,2077.4999999121064
