,Brun-,Brun,Gris,Gris-,Noir,Noir-,PV_Brun-,PV_Brun,PV_Gris,PV_Gris-,PV_Noir,PV_Noir-,P_cons,P_prod,P_tot
2021-12-17 00:10:32+01:00,0.0,57.12499999208376,20.00000001862645,0.0,72.24999999743886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.37500000814907,0.0,149.37500000814907
2021-12-17 00:10:40+01:00,0.0,82.75000000139698,19.875000005413312,0.0,97.49999997438863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.12499998119893,0.0,200.12499998119893
2021-12-17 00:10:48+01:00,0.0,82.99999995506369,19.87500001268927,0.0,97.74999995715916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.62499992491212,0.0,200.62499992491212
2021-12-17 00:10:56+01:00,0.0,82.87499999278225,19.87500001268927,0.0,97.87499994854443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.62499995401595,0.0,200.62499995401595
2021-12-17 00:11:04+01:00,0.0,79.49999999254942,19.87500001268927,0.0,94.62499999790452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0000000031432,0.0,194.0000000031432
2021-12-17 00:11:12+01:00,0.0,57.49999999534339,20.00000001862645,0.0,72.87500001257285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.3750000265427,0.0,150.3750000265427
2021-12-17 00:11:20+01:00,0.0,82.49999998952262,20.000000011350494,0.0,97.4999999452848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.9999999461579,0.0,199.9999999461579
2021-12-17 00:11:28+01:00,0.0,82.37500002724119,19.87500001268927,0.0,97.4999999452848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.74999998521525,0.0,199.74999998521525
2021-12-17 00:11:36+01:00,0.0,82.49999998952262,19.87500001268927,0.0,97.50000000349246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.87500000570435,0.0,199.87500000570435
2021-12-17 00:11:44+01:00,0.0,78.50000000325963,20.000000011350494,0.0,93.62499992130324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.12499993591337,0.0,192.12499993591337
2021-12-17 00:11:52+01:00,0.0,57.874999998603016,19.875000005413312,0.0,73.49999994039536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.24999994441168,0.0,151.24999994441168
2021-12-17 00:12:00+01:00,0.0,82.12500001536682,20.000000011350494,0.0,97.24999993341044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.37499996012775,0.0,199.37499996012775
2021-12-17 00:12:08+01:00,0.0,82.37499999813735,19.87500001268927,0.0,97.49999997438863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.74999998521525,0.0,199.74999998521525
2021-12-17 00:12:16+01:00,0.0,82.62499998090789,19.87500001268927,0.0,97.87499997764826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.37499997124542,0.0,200.37499997124542
2021-12-17 00:12:24+01:00,0.0,77.87500001722947,19.87500001268927,0.0,92.99999999348074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.75000002339948,0.0,190.75000002339948
2021-12-17 00:12:32+01:00,0.0,58.50000001373701,20.00000001862645,0.0,73.99999999324791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.50000002561137,0.0,152.50000002561137
