,Main,Main-,P_cons,P_prod,P_tot
2021-12-16 22:24:16+01:00,591.9999999459833,0.0,0.0,591.9999999459833,591.9999999459833
2021-12-16 22:24:24+01:00,807.9999999608845,0.0,0.0,807.9999999608845,807.9999999608845
2021-12-16 22:24:32+01:00,792.0000000158325,0.0,0.0,792.0000000158325,792.0000000158325
2021-12-16 22:24:40+01:00,785.9999999636784,0.0,0.0,785.9999999636784,785.9999999636784
2021-12-16 22:24:48+01:00,788.9999999897555,0.0,0.0,788.9999999897555,788.9999999897555
2021-12-16 22:24:56+01:00,787.0000000111759,0.0,0.0,787.0000000111759,787.0000000111759
2021-12-16 22:25:04+01:00,787.0000000111759,0.0,0.0,787.0000000111759,787.0000000111759
2021-12-16 22:25:12+01:00,787.0000000111759,0.0,0.0,787.0000000111759,787.0000000111759
2021-12-16 22:25:20+01:00,785.9999999636784,0.0,0.0,785.9999999636784,785.9999999636784
2021-12-16 22:25:28+01:00,787.0000000111759,0.0,0.0,787.0000000111759,787.0000000111759
2021-12-16 22:25:36+01:00,787.0000000111759,0.0,0.0,787.0000000111759,787.0000000111759
2021-12-16 22:25:44+01:00,787.999999942258,0.0,0.0,787.999999942258,787.999999942258
2021-12-16 22:25:52+01:00,785.9999999636784,0.0,0.0,785.9999999636784,785.9999999636784
2021-12-16 22:26:00+01:00,802.9999999562278,0.0,0.0,802.9999999562278,802.9999999562278
2021-12-16 22:26:08+01:00,798.9999999990687,0.0,0.0,798.9999999990687,798.9999999990687
2021-12-16 22:26:16+01:00,785.9999999636784,0.0,0.0,785.9999999636784,785.9999999636784
2021-12-16 22:26:24+01:00,785.9999999636784,0.0,0.0,785.9999999636784,785.9999999636784
2021-12-16 22:26:32+01:00,785.9999999636784,0.0,0.0,785.9999999636784,785.9999999636784
2021-12-16 22:26:40+01:00,785.9999999636784,0.0,0.0,785.9999999636784,785.9999999636784
2021-12-16 22:26:48+01:00,785.0000000325963,0.0,0.0,785.0000000325963,785.0000000325963
2021-12-16 22:26:56+01:00,783.9999999850988,0.0,0.0,783.9999999850988,783.9999999850988
2021-12-16 22:27:04+01:00,785.0000000325963,0.0,0.0,785.0000000325963,785.0000000325963
2021-12-16 22:27:12+01:00,783.9999999850988,0.0,0.0,783.9999999850988,783.9999999850988
2021-12-16 22:27:20+01:00,783.0000000540167,0.0,0.0,783.0000000540167,783.0000000540167
2021-12-16 22:27:28+01:00,802.9999999562278,0.0,0.0,802.9999999562278,802.9999999562278
2021-12-16 22:27:36+01:00,802.9999999562278,0.0,0.0,802.9999999562278,802.9999999562278
2021-12-16 22:27:44+01:00,800.9999999776483,0.0,0.0,800.9999999776483,800.9999999776483
2021-12-16 22:27:52+01:00,802.9999999562278,0.0,0.0,802.9999999562278,802.9999999562278
2021-12-16 22:28:00+01:00,800.9999999776483,0.0,0.0,800.9999999776483,800.9999999776483
2021-12-16 22:28:08+01:00,802.0000000251457,0.0,0.0,802.0000000251457,802.0000000251457
2021-12-16 22:28:16+01:00,770.0000000186265,0.0,0.0,770.0000000186265,770.0000000186265
2021-12-16 22:28:24+01:00,513.0000000353903,0.0,0.0,513.0000000353903,513.0000000353903
2021-12-16 22:28:32+01:00,525.0000000232831,0.0,0.0,525.0000000232831,525.0000000232831
2021-12-16 22:28:40+01:00,508.00000003073364,0.0,0.0,508.00000003073364,508.00000003073364
2021-12-16 22:28:48+01:00,484.99999998603016,0.0,0.0,484.99999998603016,484.99999998603016
2021-12-16 22:28:56+01:00,481.000000028871,0.0,0.0,481.000000028871,481.000000028871
2021-12-16 22:29:04+01:00,481.000000028871,0.0,0.0,481.000000028871,481.000000028871
2021-12-16 22:29:12+01:00,496.99999997392297,0.0,0.0,496.99999997392297,496.99999997392297
2021-12-16 22:29:20+01:00,488.9999999431893,0.0,0.0,488.9999999431893,488.9999999431893
2021-12-16 22:29:28+01:00,469.9999999720603,0.0,0.0,469.9999999720603,469.9999999720603
2021-12-16 22:29:36+01:00,474.99999997671694,0.0,0.0,474.99999997671694,474.99999997671694
2021-12-16 22:29:44+01:00,469.0000000409782,0.0,0.0,469.0000000409782,469.0000000409782
2021-12-16 22:29:52+01:00,466.00000001490116,0.0,0.0,466.00000001490116,466.00000001490116
2021-12-16 22:30:00+01:00,474.0000000456348,0.0,0.0,474.0000000456348,474.0000000456348
2021-12-16 22:30:08+01:00,476.9999999552965,0.0,0.0,476.9999999552965,476.9999999552965
2021-12-16 22:30:16+01:00,491.0000000381842,0.0,0.0,491.0000000381842,491.0000000381842
2021-12-16 22:30:24+01:00,489.9999999906868,0.0,0.0,489.9999999906868,489.9999999906868
2021-12-16 22:30:32+01:00,481.000000028871,0.0,0.0,481.000000028871,481.000000028871
2021-12-16 22:30:40+01:00,500.99999958183616,0.0,0.0,500.99999958183616,500.99999958183616
2021-12-16 22:30:48+01:00,479.99999998137355,0.0,0.0,479.99999998137355,479.99999998137355
2021-12-16 22:30:56+01:00,491.0000000381842,0.0,0.0,491.0000000381842,491.0000000381842
2021-12-16 22:31:04+01:00,491.0000000381842,0.0,0.0,491.0000000381842,491.0000000381842
2021-12-16 22:31:12+01:00,493.99999994784594,0.0,0.0,493.99999994784594,493.99999994784594
2021-12-16 22:31:20+01:00,484.99999998603016,0.0,0.0,484.99999998603016,484.99999998603016
2021-12-16 22:31:28+01:00,506.00000005215406,0.0,0.0,506.00000005215406,506.00000005215406
2021-12-16 22:31:36+01:00,503.99999995715916,0.0,0.0,503.99999995715916,503.99999995715916
2021-12-16 22:31:44+01:00,500.0,0.0,0.0,500.0,500.0
2021-12-16 22:31:52+01:00,4400.999999954365,0.0,0.0,4400.999999954365,4400.999999954365
2021-12-16 22:32:00+01:00,7067.000000039116,0.0,0.0,7067.000000039116,7067.000000039116
2021-12-16 22:32:08+01:00,7023.0000000447035,0.0,0.0,7023.0000000447035,7023.0000000447035
2021-12-16 22:32:16+01:00,6998.00000002142,0.0,0.0,6998.00000002142,6998.00000002142
2021-12-16 22:32:24+01:00,6994.999999995343,0.0,0.0,6994.999999995343,6994.999999995343
2021-12-16 22:32:32+01:00,7013.00000003539,0.0,0.0,7013.00000003539,7013.00000003539
2021-12-16 22:32:40+01:00,7003.000000026077,0.0,0.0,7003.000000026077,7003.000000026077
2021-12-16 22:32:48+01:00,7003.999999957159,0.0,0.0,7003.999999957159,7003.999999957159
2021-12-16 22:32:56+01:00,7003.999999957159,0.0,0.0,7003.999999957159,7003.999999957159
2021-12-16 22:33:04+01:00,7010.000000009313,0.0,0.0,7010.000000009313,7010.000000009313
2021-12-16 22:33:12+01:00,7011.000000056811,0.0,0.0,7011.000000056811,7011.000000056811
2021-12-16 22:33:20+01:00,7016.999999992549,0.0,0.0,7016.999999992549,7016.999999992549
2021-12-16 22:33:28+01:00,7008.999999961816,0.0,0.0,7008.999999961816,7008.999999961816
2021-12-16 22:33:36+01:00,7008.999999961816,0.0,0.0,7008.999999961816,7008.999999961816
2021-12-16 22:33:44+01:00,7016.999999992549,0.0,0.0,7016.999999992549,7016.999999992549
2021-12-16 22:33:52+01:00,7016.999999992549,0.0,0.0,7016.999999992549,7016.999999992549
2021-12-16 22:34:00+01:00,7015.999999945052,0.0,0.0,7015.999999945052,7015.999999945052
2021-12-16 22:34:08+01:00,7016.999999992549,0.0,0.0,7016.999999992549,7016.999999992549
2021-12-16 22:34:16+01:00,6994.999999995343,0.0,0.0,6994.999999995343,6994.999999995343
2021-12-16 22:34:24+01:00,6967.999999993481,0.0,0.0,6967.999999993481,6967.999999993481
2021-12-16 22:34:32+01:00,6981.999999959953,0.0,0.0,6981.999999959953,6981.999999959953
2021-12-16 22:34:40+01:00,6974.000000045635,0.0,0.0,6974.000000045635,6974.000000045635
2021-12-16 22:34:48+01:00,6964.999999967404,0.0,0.0,6964.999999967404,6964.999999967404
