,Mains phase 1-,Mains phase 1,Mains phase 2-,Mains phase 2,Mains phase 3-,Mains phase 3,P_cons,P_prod,P_tot
2021-12-16 22:26:24+01:00,0.0,90.00000002561137,0.0,114.99999999068677,24.999999994179234,0.0,180.0000000221189,0.0,180.0000000221189
2021-12-16 22:26:32+01:00,0.0,90.00000002561137,0.0,114.99999999068677,24.999999994179234,0.0,180.0000000221189,0.0,180.0000000221189
2021-12-16 22:26:40+01:00,0.0,88.99999997811392,0.0,114.99999999068677,25.99999999802094,0.0,177.99999997077975,0.0,177.99999997077975
2021-12-16 22:26:48+01:00,0.0,88.99999997811392,0.0,114.99999999068677,24.999999994179234,0.0,178.99999997462146,0.0,178.99999997462146
2021-12-16 22:26:56+01:00,0.0,90.00000002561137,0.0,114.99999999068677,24.999999994179234,0.0,180.0000000221189,0.0,180.0000000221189
2021-12-16 22:27:04+01:00,0.0,88.99999997811392,0.0,114.00000000139698,25.99999999802094,0.0,176.99999998148996,0.0,176.99999998148996
2021-12-16 22:27:12+01:00,0.0,90.00000002561137,0.0,114.99999999068677,24.999999994179234,0.0,180.0000000221189,0.0,180.0000000221189
2021-12-16 22:27:20+01:00,0.0,88.99999997811392,0.0,114.99999999068677,24.999999994179234,0.0,178.99999997462146,0.0,178.99999997462146
2021-12-16 22:27:28+01:00,0.0,88.99999997811392,0.0,114.99999999068677,25.99999999802094,0.0,177.99999997077975,0.0,177.99999997077975
2021-12-16 22:27:36+01:00,0.0,90.00000002561137,0.0,114.99999999068677,24.999999994179234,0.0,180.0000000221189,0.0,180.0000000221189
2021-12-16 22:27:44+01:00,0.0,88.99999997811392,0.0,114.00000000139698,25.99999999802094,0.0,176.99999998148996,0.0,176.99999998148996
2021-12-16 22:27:52+01:00,0.0,90.00000002561137,0.0,114.99999999068677,24.999999994179234,0.0,180.0000000221189,0.0,180.0000000221189
2021-12-16 22:28:00+01:00,0.0,90.00000002561137,0.0,115.99999997997656,24.999999994179234,0.0,181.0000000114087,0.0,181.0000000114087
2021-12-16 22:28:08+01:00,0.0,90.00000002561137,0.0,114.99999999068677,25.99999999802094,0.0,179.0000000182772,0.0,179.0000000182772
2021-12-16 22:28:16+01:00,0.0,90.00000002561137,0.0,114.99999999068677,24.999999994179234,0.0,180.0000000221189,0.0,180.0000000221189
2021-12-16 22:28:24+01:00,0.0,88.99999997811392,0.0,114.99999999068677,25.99999999802094,0.0,177.99999997077975,0.0,177.99999997077975
2021-12-16 22:28:32+01:00,0.0,90.00000002561137,0.0,114.99999999068677,24.999999994179234,0.0,180.0000000221189,0.0,180.0000000221189
2021-12-16 22:28:40+01:00,0.0,88.99999997811392,0.0,114.99999999068677,25.99999999802094,0.0,177.99999997077975,0.0,177.99999997077975
2021-12-16 22:28:48+01:00,0.0,88.99999997811392,0.0,114.00000000139698,24.999999994179234,0.0,177.99999998533167,0.0,177.99999998533167
2021-12-16 22:28:56+01:00,0.0,88.99999997811392,0.0,114.99999999068677,24.999999994179234,0.0,178.99999997462146,0.0,178.99999997462146
2021-12-16 22:29:04+01:00,0.0,90.00000002561137,0.0,114.99999999068677,25.99999999802094,0.0,179.0000000182772,0.0,179.0000000182772
2021-12-16 22:29:12+01:00,0.0,90.00000002561137,0.0,114.99999999068677,24.999999994179234,0.0,180.0000000221189,0.0,180.0000000221189
2021-12-16 22:29:20+01:00,0.0,90.00000002561137,0.0,114.99999999068677,24.999999994179234,0.0,180.0000000221189,0.0,180.0000000221189
2021-12-16 22:29:28+01:00,0.0,88.99999997811392,0.0,115.99999997997656,25.99999999802094,0.0,178.99999996006954,0.0,178.99999996006954
2021-12-16 22:29:36+01:00,0.0,87.99999998882413,0.0,113.0000000121072,24.999999994179234,0.0,176.0000000067521,0.0,176.0000000067521
2021-12-16 22:29:44+01:00,0.0,14.000000024680048,0.0,41.00000002654269,25.99999999802094,0.0,29.000000053201802,0.0,29.000000053201802
2021-12-16 22:29:52+01:00,0.0,15.000000013969839,0.0,39.99999997904524,24.999999994179234,0.0,29.999999998835847,0.0,29.999999998835847
2021-12-16 22:30:00+01:00,0.0,14.000000024680048,0.0,39.99999997904524,25.99999999802094,0.0,28.00000000570435,0.0,28.00000000570435
2021-12-16 22:30:08+01:00,0.0,15.000000013969839,0.0,41.00000002654269,24.999999994179234,0.0,31.000000046333298,0.0,31.000000046333298
2021-12-16 22:30:16+01:00,0.0,14.000000024680048,0.0,39.99999997904524,25.99999999802094,0.0,28.00000000570435,0.0,28.00000000570435
2021-12-16 22:30:24+01:00,0.0,15.000000013969839,0.0,39.99999997904524,24.999999994179234,0.0,29.999999998835847,0.0,29.999999998835847
2021-12-16 22:30:32+01:00,0.0,14.000000024680048,0.0,39.99999997904524,24.999999994179234,0.0,29.000000009546056,0.0,29.000000009546056
2021-12-16 22:30:40+01:00,0.0,14.000000432133675,0.0,39.9999997462146,26.000002239015885,0.0,27.99999793933239,0.0,27.99999793933239
2021-12-16 22:30:48+01:00,0.0,14.000000024680048,0.0,38.99999998975545,24.000000004889444,0.0,29.000000009546056,0.0,29.000000009546056
2021-12-16 22:30:56+01:00,0.0,15.000000013969839,0.0,45.999999972991645,31.000000002677552,0.0,29.99999998428393,0.0,29.99999998428393
2021-12-16 22:31:04+01:00,0.0,14.000000024680048,0.0,45.999999972991645,32.00000000651926,0.0,27.999999991152436,0.0,27.999999991152436
2021-12-16 22:31:12+01:00,0.0,14.000000024680048,0.0,43.000000005122274,28.99999999499414,0.0,28.00000003480818,0.0,28.00000003480818
2021-12-16 22:31:20+01:00,0.0,14.000000024680048,0.0,43.999999994412065,28.99999999499414,0.0,29.00000002409797,0.0,29.00000002409797
